<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20220315;000000;112.5010000;119.2500000;98.4950000;108.4500000;2388
USDRUB;D;20220316;000000;108.7500000;109.0000000;93.7500000;95.7500000;2441
USDRUB;D;20220317;000000;95.0000000;105.6170000;94.5000000;103.0754000;1695
USDRUB;D;20220318;000000;95.6250000;107.2500000;95.6250000;103.0000000;2641
USDRUB;D;20220320;000000;101.1248000;101.1248000;100.3500000;101.0982000;10
USDRUB;D;20220321;000000;104.8170000;107.5000000;103.2500000;106.6625000;2704
USDRUB;D;20220322;000000;103.3000000;107.7500000;101.5000000;105.9931000;2228
USDRUB;D;20220323;000000;105.6000000;106.2500000;93.5000000;96.7266000;2594
USDRUB;D;20220324;000000;97.7500000;102.2572000;94.6250000;102.2056000;475
USDRUB;D;20220325;000000;100.2500000;101.2500000;96.4000000;101.2500000;815
USDRUB;D;20220327;000000;100.1250000;100.9007000;99.3750000;100.9007000;19
USDRUB;D;20220328;000000;93.3750000;101.1250000;92.5000000;95.7500000;728
USDRUB;D;20220329;000000;95.0000000;95.0000000;82.1250000;85.0000000;782
USDRUB;D;20220330;000000;83.2500000;87.7500000;81.0000000;83.4701000;483
USDRUB;D;20220331;000000;75.5000000;85.1765000;75.5000000;81.7081000;841
USDRUB;D;20220401;000000;80.2500000;86.3461000;80.2500000;85.0000000;664
USDRUB;D;20220403;000000;83.5000000;84.0186000;80.0500000;82.7500000;30
USDRUB;D;20220404;000000;85.0000000;85.2520000;81.5000000;82.2500000;722
USDRUB;D;20220405;000000;82.7500000;85.3935000;81.6250000;83.9925000;732
USDRUB;D;20220406;000000;81.7500000;84.2990000;80.2500000;82.1150000;1065
USDRUB;D;20220407;000000;83.8971000;83.8971000;76.5000000;78.5000000;941
USDRUB;D;20220408;000000;79.2400000;81.5900000;75.6250000;79.5000000;1390
USDRUB;D;20220410;000000;78.3500000;80.3598000;78.3500000;80.2500000;19
USDRUB;D;20220411;000000;80.0000000;84.7500000;79.7790000;82.7500000;1020
USDRUB;D;20220412;000000;82.3750000;85.3802000;81.1250000;85.3625000;1222
USDRUB;D;20220413;000000;83.1250000;84.5530000;80.7500000;81.9250000;903
USDRUB;D;20220414;000000;79.6750000;83.2400000;79.6750000;81.8750000;951
USDRUB;D;20220415;000000;82.1250000;83.0000000;79.8750000;82.7500000;112
USDRUB;D;20220417;000000;82.2500000;82.7500000;81.2500000;82.7500000;7
USDRUB;D;20220418;000000;82.7500000;82.7500000;78.7500000;80.3750000;130
USDRUB;D;20220419;000000;80.5335000;81.2015000;77.5250000;80.9679000;1022
USDRUB;D;20220420;000000;80.0000000;84.3740000;79.0500000;82.2500000;1483
USDRUB;D;20220421;000000;82.0250000;82.2750000;78.5000000;80.8626000;1295
USDRUB;D;20220422;000000;79.3050000;80.3930000;75.2740000;76.6250000;1365
USDRUB;D;20220424;000000;76.8750000;77.3864000;76.6250000;76.6250000;17
USDRUB;D;20220425;000000;77.1020000;77.5400000;71.8750000;75.0250000;981
USDRUB;D;20220426;000000;74.6250000;75.2010000;71.9495000;74.8750000;1416
USDRUB;D;20220427;000000;75.2500000;75.7325000;71.2750000;73.8810000;1204
USDRUB;D;20220428;000000;73.2500000;74.4095000;69.1000000;72.7522000;1218
USDRUB;D;20220429;000000;71.8160000;72.7060000;68.0025000;70.6000000;1114
USDRUB;D;20220502;000000;70.3500000;71.8750000;69.2490000;70.5608000;388
USDRUB;D;20220503;000000;70.6000000;71.4641000;65.3665000;68.2539000;694
USDRUB;D;20220504;000000;67.0460000;67.8750000;63.8750000;65.3750000;1494
USDRUB;D;20220505;000000;64.6745000;65.8500000;61.7250000;64.0750000;1006
USDRUB;D;20220506;000000;64.2500000;68.6250000;64.2500000;67.5000000;406
USDRUB;D;20220509;000000;66.5000000;70.5000000;66.5000000;68.9500000;476
USDRUB;D;20220510;000000;69.0080000;70.1225000;67.2500000;68.7500000;482
USDRUB;D;20220511;000000;68.5675000;69.6740000;65.2500000;66.0000000;880
USDRUB;D;20220512;000000;66.0005000;67.0000000;63.0000000;65.1145000;1078
USDRUB;D;20220513;000000;65.1250000;66.0226000;62.0835000;64.5000000;937
USDRUB;D;20220516;000000;64.7500000;64.8750000;62.7500000;63.8750000;1016
